ID,會期,法案,提案時間,結果時間,法案結果,三讀,三讀＋二讀＋委員會審竣,三讀＋二讀＋委員會審查,黨團提案,提案人1,提案人2,提案人3,提案人4,提案人5,提案人6,提案人7,提案人8,提案人9,提案人10,提案人11,提案人12,提案人13,提案人14,提案人15,提案人16,提案人17,提案人18,提案人19,提案人20,提案人21,提案人22,提案人23,提案人24,提案人25,提案人26,提案人27,提案人28,提案人29,提案人30,提案人31,提案人32,提案人33,連署人1,連署人2,連署人3,連署人4,連署人5,連署人6,連署人7,連署人8,連署人9,連署人10,連署人11,連署人12,連署人13,連署人14,連署人15,連署人16,連署人17,連署人18,連署人19,連署人20,連署人21,連署人22,連署人23,連署人24,連署人25,連署人26,連署人27,連署人28,連署人29,連署人30,連署人31,連署人32,連署人33,連署人34,連署人35,連署人36,連署人37,連署人38,連署人39,連署人40,連署人41,連署人42,連署人43,連署人44,連署人45,連署人46,連署人47,連署人48,連署人49,連署人50,連署人51,連署人52,連署人53,連署人54,連署人55,連署人56,連署人57,連署人58,連署人59,連署人60,連署人61,連署人62,關鍵字,關係文書
11,1,公營事業移轉民營條例第五條及第八條條文修正草案,2005/3/4,2005/5/31,復議,0,0,0,0,黃昭順,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,徐少萍,章仁香,王昱婷,楊麗環,黃德福,紀國棟,劉銓忠,白添枝,葉芳雄,張慶忠,吳敦義,吳光訓,羅世雄,陳秀卿,許舒博,林建榮,楊瓊瓔,江連福,廖婉汝,張昌財,李全教,侯彩鳳,黃敏惠,黃健庭,林益世,劉政鴻,林正峰,吳松柏,謝文政,吳志揚,吳英毅,曹爾忠,孔文吉,劉盛良,朱鳳芝,李復興,蔡正元,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員黃昭順等38人,為推動公營事業永續經營,避免民
營化後勞動條件減損及各項福利不明確,建議公營事業移轉
民營後之勞動條件應於民營前六個月公告,以保障勞工工作
權,勞資和諧共創雙贏,爱擬具修訂「公營事業移轉民營條
例第五條、第八條條文修正草案」,俾利員工依據「公營事
業移轉民營條例」第五條、第八條條文選擇去留。移轉民營
後之勞動條件透明,有助於保障勞工權益,創造雙贏。是否
有當,敬請公決。"
12,1,監督寺廟條例草案,2005/3/4,2005/5/31,復議,0,0,0,0,黃昭順,李復興,徐少萍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,蔡正元,林建榮,章仁香,楊麗環,黃德福,紀國棟,白添枝,王昱婷,吳志揚,曹爾忠,鍾紹和,廖國棟,吳英毅,劉盛良,葉芳雄,張慶忠,羅世雄,吳敦義,江連福,孔文吉,吳光訓,朱鳳芝,陳秀卿,伍錦霖,黃敏惠,李全教,侯彩鳳,蘇起,曹壽民,廖婉汝,林益世,黃健庭,楊瓊瓔,張昌財,林正峰,劉政鴻,吳松柏,謝文政,吳成典,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員黃昭順、李復興、徐少萍等42人,為民國十八年制
定的「監督寺廟條例」,是目前台灣地區最重要的宗教法令
,惟這個「訓政時期」的老舊條例,只對僧道住持的寺廟進
行「監督」,因此數十年來,佛、道兩教和其他宗教之間,
一直存在著差別待遇的爭議。這些不合理的宗教法規,不僅
干涉信仰活動,而且造成宗教歧視,很明顯是違憲的。另寺
廟本是信徒清修之地,但法令卻強迫寺廟組織「信徒大會」
為最高權利機關,使得多處佛寺、道觀的住持常因不譜法令
,被鑽營法條人士奪權並強迫驅離。而且條例中明顯政教不
分,例如主管官署竟然有權將寺廟住持「逐出寺廟或送法究
辦」。政府不應只圖管理方便,而用政治干涉宗教,並蔑視
各宗教或宗派本身的悠久傳統。又現行的一般法令,已足以
制裁「假宗教之名行詐騙之實」的不法活動,政府應尊重各
宗教或修行團體的自律能力,不宜過度介入。爱擬提案廢止
「監督寺廟條例」這個多餘的法令。是否有當?敬請公決。"
13,1,宗教團體法草案,2005/3/4,2005/5/31,復議,0,0,0,0,黃昭順,李復興,蔡正元,廖國棟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,許舒博,林建榮,徐少萍,章仁香,王昱婷,楊麗環,黃德福,紀國棟,劉銓忠,白添枝,張慶忠,曹爾忠,劉盛良,吳英毅,孔文吉,葉芳雄,陳秀卿,伍錦霖,鍾紹和,吳光訓,吳敦義,吳志揚,羅世雄,李敏惠,廖婉汝,黃健庭,楊瓊瓔,李全教,侯彩鳳,蘇起,曹壽民林益世,張昌財,林正峰,劉政鴻,吳松柏,謝文政,徐耀昌,趙良燕,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員黃昭順、李復興、蔡正元、廖國棟等43人,鑒於監
督寺廟條例頒訂已久,又不盡公平完善,加上寺廟問題重重
,如建築、土地、人事、稅賦………………等,長期以來未獲合理解
決,爱提出「宗教團體法」草案以釐清法律規定並落實憲法
保障人民宗教信仰自由之基本人權規定,維護宗教自主尊嚴
,是否有當,敬請公決。"
14,1,公共衛生師法草案,2005/3/4,2005/3/4,交付審查,0,0,0,0,廖本煙,侯水盛,黃偉哲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黃政哲,陳銀河,劉寬平,何敏豪,楊宗哲,羅志明,賴幸媛,曾燦燈,荒宗源,黃適卓,曹來旺,張川田,蔡同榮,李鎮楠,莊碩漢,盧博基,徐國勇,陳憲中,張花冠,張慶惠,魏明谷,蔡其昌,謝欣霓,林耘生,鄭運鵬,郭榮宗,林淑芬,鄭國忠,王世堅,林為洲,湯火聖,王拓,吳秉叡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員廖本煙、侯水盛、黃偉哲等 36人,有鑑於近十多年
來,各種不同的傳染病蔓延,從美國爆發漢他病毒、印度鼠
疫大流行、薩伊爆發依波拉病毒、尼加拉瓜發生惡性肺部螺
旋體病、香港禽流感、馬來西亞尼帕病毒、SARS病毒等,都
對於人民的健康造成嚴重的影響,因此必須正視公共衛生中
流行疫病的防治。此外公共衛生之範疇更包含了全民健保的
改革與評估、醫院管理的專業化、生物科技的發展與社區的
診斷等,因此必須推動公共衛生師的立法,爱擬具公共衛生
師法草案,強化我國公共衛生,保障全民健康。是否有當,
敬請公決。"
15,1,身心障礙者生活津貼條例草案,2005/3/4,2005/5/31,復議,0,0,0,0,廖本煙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黃政哲,陳銀河,何敏豪,劉寬平,尹伶瑛,楊宗哲,羅志明,曾燦燈,張川田,李鎮楠,黃宗源,黃適卓,曹來旺,蔡同榮,莊碩漢,盧博基,徐國勇,黃偉哲,侯水盛,陳憲中,張花冠,張慶惠,魏明谷,蔡其昌,謝欣霓,林耘生,鄭運鵬,郭榮宗,林淑芬,鄭國忠,王世堅,林為洲,湯火聖,王拓,吳秉叡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員廖本煙等 36人,有鑒於身心障礙者及其家庭之經濟
並非十分富裕,除了非身心障礙者其及家庭的固定開銷之外
,還要負擔醫療、復健、輔具等龐大費用,然而目前我國對
身心障礙者的生活經濟安全措施,卻不能滿足身心障礙者的
所有需求,而且大部份為殘補式的服務,為保障其經濟安全
,提供身心障礙者普及式之生活津貼,特擬具「身心障礙者
生活津貼條例草案」,是否有當,敬請公決。"
16,1,全民健康保險法第八條及第二十七條條文修正草案,2005/3/4,2005/5/31,復議,0,0,0,0,廖本煙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,李鎮楠,黃宗源,羅志明,何敏豪,黃政哲,蔡同榮,趙永清,王幸男,尤清,湯火聖,陳朝龍,徐中雄,尹伶瑛,楊宗哲,曾燦燈,黃適卓,曹來旺,張川田,莊碩漢,盧博基,徐國勇,侯水盛,黃偉哲,陳憲中,張花冠,張慶惠,魏明谷,蔡其昌,謝欣霓,林耘生,郭榮宗,林淑芬,鄭國忠,王世堅,林為洲,王拓,吳秉叡,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員廖本煙等 38人,有鑒於早期台灣礦業發展,奠定台
灣現今之經濟基礎,當時擔任礦業人員貢獻良多,但是現今
在台灣礦業式微之情況下,多數礦工退休後生活艱難,並且
多數退休礦工均罹患職業病,政府必須基於社會公平正義與
照顧弱勢之原則,全額補助目前已經退休礦工之健保費用。
礙於現行全民健保法,不能有效保障已退休礦工之醫療權益
,故擬修正全民健保法部分條文,以保障退休礦工之權益。
爱提出全民健保法第八條與第二十七條之修正草案,是否有
當?敬請公決。"
17,1,兒童及少年福利法增訂部分條文草案,2005/3/4,2007/5/17,委員會審查,0,0,1,0,廖本煙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吳秉叡,林耘生,謝欣霓,林為洲,王世堅,徐國勇,盧博基,侯水盛,張花冠,王拓,黃政哲,陳銀河,郭林勇,魏明谷,何敏豪,尹伶瑛,楊宗哲,陳憲中,林淑芬,黃宗源,羅志明,曾燦燈,黃偉哲,鄭國忠,張川田,湯火聖,曹來旺,黃適卓,蔡同榮,李鎮楠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員廖本煙等 33人,有鑑於兒童及少年權益在於家長爭
奪監護權中,常常無法獲得完整保障,在現行的法律未予規
範下,導致兒童及少年身分曝光,造成二度傷害,加上社工
人員缺乏強制介入輔導之權力,無法幫助受創之兒童及少年
。因此,爱擬具兒童及少年福利法部分條文修正案,限制媒
體揭露足以識別兒童及少年身分之資訊,並賦予社工人員強
制輔導及進行家事商談之權力,冀以加強保障兒童及少年之
權益。是否有當,敬請公決。"
18,1,牙體技術師法草案,2005/3/4,2005/3/4,交付審查,0,0,0,0,廖本煙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黃政哲,陳銀河,劉寬平,何敏豪,尹伶瑛,楊宗哲,賴幸媛,羅志明,曾燦燈,黃宗源,黃適卓,曹來旺,張川田,蔡同榮,李鎮楠,莊碩漢,盧博基,徐國勇,王偉哲,侯水盛,陳憲中,張花冠,張慶惠,魏明谷,蔡其昌,謝欣霓,林耘生,郭榮宗,林淑芬,鄭國忠,王世堅,林為洲,湯火聖,王拓,吳秉叡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員廖本煙等 36人,有鑑於臺灣地區之公共衛生及國民
生活水準不斷提升,國人平均餘命逐年延長,國內老年人口
大幅增加,牙醫醫療用之牙冠、牙橋、嵌體、矯正裝置、義
齒製作、修理或加工之牙體技術服務益形重要,而執業人員
之素質乃攸關牙體技術服務之良 ,國民口腔衛生保健以及
義齒之裝配製作等,均是攸關國民之生活品質與身體健康,
為強化牙體製作技術,提升其服務品質,爱參酌其他醫事專
業人員管理法律,擬具本草案,將牙體技術人員納入醫療專
業體系,對其業務、責任及管理作適當之規範。並配合行政
程序法之施行,將該法公布施行前領有齒模製造技術員登記
證及鑲牙生證書者之管理納入本草案附則章,以賦予法律授
權訂定管理辦法之依據。是否有當,敬請公決。"
19,1,身心障礙者保護法部分條文修正草案,2005/3/4,2005/5/31,復議,0,0,0,0,廖本煙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黃政哲,陳銀河,郭林勇,尹伶瑛,楊宗哲,羅志明,曾燦燈,黃宗源,黃適卓,曹來旺,張川田,蔡同榮,李鎮楠,莊碩漢,盧博基,徐國勇,黃偉哲,侯水盛,陳憲中,張花冠,張慶惠,魏明谷,蔡其昌,謝欣霓,林耘生,鄭運鵬,郭榮宗,林淑芬,鄭國忠,王世堅,林為洲,湯火聖,王拓,吳秉叡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,農漁村老舊房舍更新條例草案,2005/3/4,2007/12/14,交付審查,0,0,0,0,王幸男,余政道,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,蔡啟芳,陳朝容,李俊毅,蔡英文,尤清,莊碩漢,鄭朝明,王拓,江昭儀,謝明源,王世堅,鄭國忠,王榮璋,鄭運鵬,郭俊銘,邱創進,林岱樺,廖本煙,郭正亮,林進興,王淑慧,賴清德,黃政哲,徐國勇,邱永仁,杜文卿,藍美津,蕭美琴,唐碧娥,蔡同榮,陳明真,林崇莫,徐志明,李鎮楠,李文忠,盧博基,李明憲,彭添富,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員王幸男、余政道等40人,針對國家長期以來對於國
民住宅政策之規劃與推動,區域上偏重於都會地區、對象上
偏重於軍公教與勞工,對於一直堅守初級產業、貢獻台灣經
濟良多的農漁民,缺乏住宅房舍更新之協助與規劃,似未就
福利資源為妥善分配,忽視農漁民與一般國民間平等關係,
與憲法第七條平等原則之規範意旨有違。本席等認為,政府
應斟酌農漁民之財力、收入、家計負擔及須照顧之必要性,
依實際狀況並配合農漁村生活圈規劃及建設之需要,針對個
別或聚落之農漁村房舍已經老舊而有更新必要者予以適當補
助,以有效規範及引導整體農漁村發展,建設人文、產業、
自然生態及地區特色兼備之農村生活圈,特提出制定農漁村
老舊房舍更新條例草案,是否有當,敬請公決。"
21,1,公民投票法部分條文修正草案,2005/3/4,2002/3/4,退回程序委員會,0,0,0,0,王幸男,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,賴清德,王榮璋,黃政哲,李鎮楠,鄭朝明,郭俊銘,林進興,邱永仁,唐碧娥,林重謨,王世堅,徐國勇,王拓,邱創進,蔡啟芳,杜文卿,陳明真,蔡同榮,徐志明,莊碩漢,藍美津,李文忠,蔡英文,廖本煙,尤清,李俊毅,鄭運鵬,余政道,郭正亮,林岱樺,鄭國忠,彭添富,江昭儀,王淑慧,李明憲,陳朝龍,盧博基,謝明源,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員王幸男等39人,針對現行公民投票法部分條文之規
定,對於公投議題、發動權限、連署門檻、投票時間等,都
設下過高之門檻與不必要的限制,違反民主國家藉由公民投
票制度落實國民主權原則,補充代議政治缺失之立法意旨相
違,本席等認為現行公民投票法有修正之必要,爱提出公民
投票法部分條文修正草案,是否有當,敬請公決。"
22,1,立法院組織法部分條文修正草案,2005/3/4,2005/3/4,退回程序委員會,0,0,0,0,王幸男,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鄭朝明,廖本煙,王拓,余政道,李俊毅,鄭運鵬,莊碩漢,尤清,徐國勇,鄭國忠,郭俊銘,邱創進,郭正亮,江昭儀,謝明源,賴清德,黃政哲,王榮璋,吝進興,蔡啟芳,林岱樺,王淑慧,邱永仁,杜文卿,藍美津,唐碧娥,蔡同榮,陳明真,陳朝龍,蕭美琴,王世堅,林重謨,徐志明,李文忠,盧博基,李鎮楠,彭添富,李明憲,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員王幸男等39人,針對本院自第七屆起,委員席次將
減為113席,本院內規及相關法律必須配合修正,爱提出立
法院組織法部分條文修正草案,是否有當?敬請公決。"
